CNPJ_Fundo;Data_Referencia;Versao;Data_Informacao_Numero_Cotistas;Total_Numero_Cotistas;Numero_Cotistas_Pessoa_Fisica;Numero_Cotistas_Pessoa_Juridica_Nao_Financeira;Numero_Cotistas_Banco_Comercial;Numero_Cotistas_Corretora_Distribuidora;Numero_Cotistas_Outras_Pessoas_Juridicas_Financeira;Numero_Cotistas_Investidores_Nao_Residentes;Numero_Cotistas_Entidade_Aberta_Previdencia_Complementar;Numero_Cotistas_Entidade_Fechada_Previdência_Complementar;Numero_Cotistas_Regime_Proprio_Previdencia_Servidores_Publicos;Numero_Cotistas_Sociedade_Seguradora_Resseguradora;Numero_Cotistas_Sociedade_Capitalizacao_Arrendamento_Mercantil;Numero_Cotistas_FII;Numero_Cotistas_Outros_Fundos;Numero_Cotistas_Distribuidores_Fundo;Numero_Cotistas_Outros_Tipos;Valor_Ativo;Patrimonio_Liquido;Cotas_Emitidas;Valor_Patrimonial_Cotas;Percentual_Despesas_Taxa_Administracao;Percentual_Despesas_Agente_Custodiante;Percentual_Rentabilidade_Efetiva_Mes;Percentual_Rentabilidade_Patrimonial_Mes;Percentual_Dividend_Yield_Mes;Percentual_Amortizacao_Cotas_Mes
00.332.266/0001-31;2018-01-01;1;2018-01-31;69;;;;;;;;;;;;;;;;484567331.92;483753394.75;2652895;182.349242902565;0.000119;0;0.007926;0.000425;0.007501;0
00.332.266/0001-31;2018-02-01;2;2018-02-28;83;;;;;;;;;;;;;;;;490852841.78;489279685.37;2683434;182.333415083061;0.000118;0;0.014912;0.011424;0.003488;0
00.332.266/0001-31;2018-03-01;1;2018-03-31;89;83;2;0;0;0;1;0;1;0;0;0;1;0;0;1;492385526.58;487223985.54;2683434;181.567344507076;0.000119;0;0.004958;-0.004201;0.009159;0
00.332.266/0001-31;2018-04-01;1;2018-04-30;94;;;;;;;;;;;;;;;;490686664.8;486966219.41;2683434;181.471286198953;0.000118;0;0.005034;-0.000529;0.005563;0
00.332.266/0001-31;2018-05-01;2;2018-05-31;95;;;;;;;;;;;;;;;;490870265.28;486854988.69;2684142;181.381979302883;0.000119;0;0.005284;-0.000228;0.005512;0
00.332.266/0001-31;2018-06-01;1;2018-06-30;99;93;2;0;0;0;1;0;1;0;0;0;1;0;0;1;491566339.36;487802689.92;2691901;181.211229506583;0.000119;0;0.008029;0.001947;0.006082;0
00.332.266/0001-31;2018-07-01;2;2018-07-31;101;;;;;;;;;;;;;;;;493228837.06;489177224.26;2700843;181.120199974601;0.000106;0;0.006428;-0.000502;0.00693;0
00.332.266/0001-31;2018-08-01;3;2018-08-31;97;;;;;;;;;;;;;;;;495545556.94;490872646.82;2713247;180.91705134844;0.000118;0;0.005779;-0.001122;0.006901;0
00.332.266/0001-31;2018-09-01;1;2018-09-30;97;91;2;0;0;0;0;0;1;0;0;0;0;2;0;1;498628009.14;494386893.18;2732609;180.921197719835;0.000117;0;0.005827;2.3E-05;0.005804;0
00.332.266/0001-31;2018-10-01;1;2018-10-31;99;;;;;;;;;;;;;;;;500265320.75;495574617.66;2737722;181.017144056263;0.000116;0;0.007992;0.00053;0.007462;0
