TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
LHER3;0,00;;0,00;0,00;0,00;63,41;22,35;10,99;0,00;-3,77;-3,77;-0,15;0,00;0,00;0,00;6,36;1,95;0,67;3,94;0,34;0,66;0,06;4,31;-51,59;;141,54;2,76;0,00;0,00
LHER4;0,00;;0,00;0,00;0,00;63,41;22,35;10,99;0,00;-3,77;-3,77;-0,15;0,00;0,00;0,00;6,36;1,95;0,67;3,94;0,34;0,66;0,06;4,31;-51,59;;141,54;2,76;0,00;0,00
LIGT3;5,10;;-0,36;0,62;0,08;16,51;-14,67;-39,79;-0,97;-5,50;-4,52;2,89;0,14;-0,18;-0,10;0,29;-173,47;-22,64;-19,48;0,13;0,87;0,57;3,21;;5.531.907,00;8,18;-14,20;0,00;1.900.032.152,40
LINX3;37,40;;-90,95;4,38;2,74;68,70;-4,79;-8,67;-164,48;-159,30;5,18;-0,14;7,88;11,96;-4,82;2,14;-4,81;-3,02;-2,23;0,63;0,37;0,35;14,30;;;8,55;-0,41;0,13;7.083.895.104,00
LIPR3;68,01;3,48;34,85;3,71;3,52;;;;39,96;36,94;-3,03;-0,28;;12,64;-5,11;9,02;10,64;10,09;8,99;0,95;0,05;0,00;;-10,15;10.101,50;18,34;1,95;-2,44;800.130.100,89
LJQQ3;5,95;;-31,44;2,30;0,38;34,11;2,77;-1,56;17,75;17,49;-0,26;-0,03;0,49;1,24;-1,14;1,86;-7,33;-1,21;5,03;0,17;0,83;0,77;18,92;;14.755.121,58;2,58;-0,19;0,02;1.160.682.630,45
LOGG3;22,17;3,15;13,89;0,61;0,37;98,51;124,48;69,23;7,73;12,53;4,81;0,38;9,62;3,73;-0,45;2,52;4,42;2,68;5,19;0,61;0,39;0,04;16,90;34,23;3.957.670,19;36,13;1,60;-0,22;2.264.868.444,18
LOGN3;37,90;;10,55;4,14;1,17;22,70;17,34;16,83;10,24;12,46;2,22;0,90;1,78;13,48;-1,65;1,42;39,27;11,07;10,64;0,28;0,72;0,66;18,84;;935.084,10;9,14;3,59;0,06;4.057.529.202,20
LPSB3;2,09;0,99;13,45;1,40;0,78;82,91;20,42;12,52;8,25;6,75;-1,50;-0,26;1,68;6,80;-1,04;1,82;10,44;5,78;11,90;0,55;0,46;0,46;11,92;;244.242,65;1,49;0,16;0,17;308.389.178,79
LREN3;15,30;4,67;15,83;1,51;0,74;60,17;6,85;6,95;16,06;14,85;-1,21;-0,11;1,10;3,07;-1,78;1,70;9,54;4,67;6,78;0,49;0,51;0,67;12,26;4,91;208.050.501,61;10,14;0,97;-0,66;14.737.372.992,90
LTEL3B;86,61;1,08;18,95;5,56;5,51;;;;19,21;19,20;-0,01;0,00;;-3.972,77;-5,56;0,87;29,36;29,06;28,91;0,99;0,01;0,00;;-18,45;;15,57;4,57;-0,39;18.664.056.853,83
LUPA3;1,96;;2,24;0,51;0,16;22,62;-66,63;39,07;-1,32;-3,66;-2,35;0,90;0,88;1,72;-0,24;1,43;22,52;7,20;-59,68;0,32;0,68;0,18;-0,35;;575.854,42;3,88;0,87;-0,01;80.457.560,96
LUXM3;0,00;;0,00;0,00;0,00;31,63;17,73;11,58;0,00;7,23;-0,33;-0,07;0,00;0,00;0,00;1,00;13,10;9,54;12,09;0,73;0,27;0,82;6,11;32,41;;5,81;0,76;0,00;183.037.680,00
LUXM4;15,79;;20,75;2,72;1,98;31,63;17,73;11,58;13,56;7,23;-0,33;-0,07;2,40;4.826,17;-2,30;1,00;13,10;9,54;12,09;0,73;0,27;0,82;6,11;32,41;5.503,50;5,81;0,76;0,23;183.037.680,00
LVTC3;3,75;0,36;-459,25;0,38;0,17;21,71;6,09;-0,06;4,15;2,47;-1,69;-0,15;0,25;0,62;-0,31;2,75;-0,08;-0,04;8,36;0,46;0,54;0,69;;;78.626,61;9,97;-0,01;4,54;242.486.486,25
LWSA3;5,65;0,93;-380,80;1,15;0,75;45,45;5,86;-0,71;46,07;31,90;-14,17;-0,35;2,70;5,75;-1,30;1,45;-0,30;-0,20;2,34;0,65;0,35;0,28;31,17;;40.711.391,23;4,89;-0,01;1,04;3.372.408.600,70
MAGG3;59,40;;-119,99;1,32;0,44;33,56;9,54;-0,57;7,17;11,30;4,13;0,76;0,68;9,32;-0,71;1,14;-1,10;-0,37;7,17;0,33;0,67;0,64;8,44;;;44,89;-0,50;1,04;2.972.404.571,40
MAPT3;7,79;;-49,03;-1,15;9,26;;;;-44,74;-40,70;0,00;;;-7.158,19;-9,26;0,00;-2,35;-18,89;2,57;-8,05;9,05;0,00;;;14.660,58;-6,77;-0,16;4,47;6.512.620,45
MAPT4;6,40;;-40,28;-0,95;7,61;;;;-36,76;-40,70;0,00;;;-5.880,93;-7,61;0,00;-2,35;-18,89;2,57;-8,05;9,05;0,00;;;21.628,45;-6,77;-0,16;3,67;6.512.620,45
MATD3;6,17;1,04;22,23;1,42;0,46;33,42;19,87;4,92;5,50;7,65;2,15;0,56;1,09;2,88;-0,61;2,68;6,38;2,05;11,64;0,32;0,66;0,42;;;3.372.569,81;4,35;0,28;-2,11;2.358.974.995,57
MBLY3;2,10;;-2,77;0,45;0,29;43,03;-14,31;-14,07;-2,72;-3,24;-0,52;0,09;0,39;0,81;-0,64;2,76;-16,44;-10,36;-12,24;0,63;0,37;0,74;;;2.008.857,87;4,62;-0,76;0,28;223.628.798,40
MDIA3;41,04;1,68;24,74;1,91;1,17;30,23;7,02;5,19;18,29;18,71;0,42;0,04;1,28;4,78;-2,12;2,19;7,71;4,72;7,51;0,61;0,39;0,91;13,34;-7,80;35.799.779,35;21,52;1,66;-2,78;13.912.560.000,00
MDNE3;12,46;;7,97;0,81;0,33;33,17;13,91;12,34;7,07;6,93;-0,14;-0,02;0,98;1,43;-0,51;2,69;10,15;4,08;7,55;0,40;0,60;0,33;5,57;;6.732.649,81;15,39;1,56;0,39;1.057.970.812,50
MEAL3;2,13;;5,22;0,55;0,22;32,17;13,76;5,20;1,97;3,00;1,02;0,29;0,27;-6,69;-0,27;0,84;10,51;4,24;17,01;0,40;0,60;0,82;8,44;99,84;2.272.320,58;3,88;0,41;-0,02;609.967.098,90
MELK3;4,58;12,24;13,06;0,81;0,39;17,78;3,68;7,16;25,37;20,95;-4,42;-0,14;0,93;0,71;-2,08;3,08;6,17;2,97;0,63;0,48;0,48;0,42;17,62;0,28;693.747,84;5,68;0,35;-0,37;944.713.581,78
MERC3;15,28;;319,25;1,11;1,01;70,55;6,13;1,94;101,17;80,36;;;6,21;7,37;-1,17;;0,35;0,32;;0,91;0,09;0,16;-29,95;-51,24;;13,81;0,05;-3,64;218.578.754,95
MERC4;8,05;5,59;168,19;0,58;0,53;70,55;6,13;1,94;53,30;80,36;;;3,27;3,88;-0,62;;0,35;0,32;;0,91;0,09;0,16;-29,95;-51,24;10.722,55;13,81;0,05;-1,92;218.578.754,95
MGEL3;19,13;;0,52;4,70;0,14;11,77;7,32;22,82;1,62;9,13;7,77;22,53;0,12;0,89;-0,27;1,45;903,95;26,13;-14,96;0,03;0,97;1,14;17,93;;;4,07;36,83;0,00;92.684.715,29
MGEL4;14,30;;0,39;3,51;0,10;11,77;7,32;22,82;1,21;9,13;7,77;22,53;0,09;0,66;-0,20;1,45;903,95;26,13;-14,96;0,03;0,97;1,14;17,93;;31.729,56;4,07;36,83;0,00;92.684.715,29
MGLU3;1,97;;-33,43;1,39;0,36;28,51;2,49;-1,06;14,31;18,74;4,43;0,43;0,36;5,66;-0,76;1,14;-4,17;-1,08;1,31;0,26;0,74;1,01;25,49;;249.537.460,10;1,41;-0,06;-38,20;13.295.385.890,56
MILS3;12,78;2,33;12,87;2,26;1,14;65,40;32,41;18,29;7,26;8,36;1,10;0,34;2,35;5,20;-1,81;2,49;17,59;8,88;16,23;0,50;0,49;0,49;30,26;;11.115.758,03;5,65;0,99;0,85;3.147.827.179,68
MLAS3;2,10;;-2,40;0,49;0,30;12,50;-15,59;-19,01;-2,93;-3,00;-0,07;0,01;0,46;0,55;-1,22;3,45;-20,23;-12,31;-13,54;0,61;0,39;0,65;;;4.717.022,74;4,32;-0,87;0,01;1.723.132.372,50
MMAQ3;0,00;;0,00;0,00;0,00;8,65;5,21;3,40;0,00;2,48;2,46;0,49;0,00;0,00;0,00;1,69;13,08;6,66;7,69;0,51;0,49;1,96;25,76;25,43;;5.685,11;743,79;0,00;1.115.195,25
MMAQ4;49,73;503,40;0,07;0,01;0,00;8,65;5,21;3,40;0,04;2,48;2,46;0,49;0,00;0,01;-0,02;1,69;13,08;6,66;7,69;0,51;0,49;1,96;25,76;25,43;;5.685,11;743,79;0,00;1.115.195,25
MMXM3;14,00;;-2,17;-0,11;0,71;;;;-181,31;-719,57;-538,27;;;-0,10;-0,75;0,01;-4,97;-32,75;0,28;-6,58;7,60;0,00;-6,95;;;-129,88;-6,46;0,03;90.834.562,00
MNDL3;41,00;;0,11;0,65;0,08;37,25;10,99;111,55;1,13;5,45;4,31;2,48;0,12;-0,57;-0,12;0,73;583,75;68,71;-38,08;0,12;0,88;0,62;11,73;;50.526,24;62,85;366,89;0,00;101.690.660,00
MNPR3;19,50;;-34,33;-0,43;0,42;27,89;8,31;-1,06;4,40;4,40;0,00;;0,37;-0,37;-0,98;0,34;-1,25;-1,21;-8,69;-0,97;1,97;1,14;13,94;;50.023,56;-45,41;-0,57;0,31;138.451.950,00
MOAR3;390,00;4,39;5,40;3,13;1,48;;;;4,09;3,61;-0,48;-0,37;;3,77;-3,16;3,76;58,02;27,33;35,93;0,47;0,53;0,00;;44,33;82.237,50;124,41;72,18;0,01;4.777.976.190,00
MODL11;8,46;;-27,27;1,66;0,27;50,83;-5,11;-5,48;-29,26;-29,26;;;1,50;;-0,30;;-6,10;-0,97;;0,16;0,84;0,18;;;;5,09;-0,31;0,17;1.985.844.000,00
MODL3;3,08;;-29,78;1,82;0,29;50,83;-5,11;-5,48;-31,96;-29,26;;;1,63;;-0,32;;-6,10;-0,97;;0,16;0,84;0,18;;;18.194.928,05;1,70;-0,10;0,19;1.985.844.000,00
MODL4;2,72;;-26,30;1,60;0,26;50,83;-5,11;-5,48;-28,22;-29,26;;;1,44;;-0,29;;-6,10;-0,97;;0,16;0,84;0,18;;;;1,70;-0,10;0,17;1.985.844.000,00
MOSI3;8,24;;32,29;1,56;1,46;89,47;6,23;14,75;76,45;36,94;-39,51;-0,81;4,76;1,91;-8,40;13,23;4,84;4,52;0,25;0,93;0,07;0,31;;;;5,27;0,26;;1.043.149.227,20
MOVI3;9,06;1,33;-73,42;1,08;0,15;32,22;18,17;-0,42;1,71;7,79;6,08;3,85;0,31;3,94;-0,19;1,21;-1,48;-0,21;11,00;0,14;0,86;0,49;31,22;;32.791.083,77;8,36;-0,12;0,70;3.282.456.899,16
MPLU3;26,80;;12,20;17,37;2,68;95,29;66,35;56,37;10,37;7,73;-2,64;-4,42;6,88;50,65;-23,58;1,06;142,40;21,94;100,98;0,15;0,85;0,39;-17,46;8,96;;1,54;2,20;-0,39;4.348.208.156,40
MRFG3;9,99;;-4,30;1,52;0,07;10,02;0,14;-1,59;48,71;216,94;168,23;5,25;0,07;0,96;-0,12;1,22;-35,29;-1,61;-0,53;0,05;0,80;1,02;66,77;;56.183.549,30;6,58;-2,32;0,03;9.310.680.000,00
MRSA3B;28,00;2,09;8,23;1,48;0,62;45,73;38,24;18,76;4,04;5,05;1,24;0,46;1,54;-61,53;-0,75;0,95;18,03;7,49;15,98;0,42;0,58;0,40;9,87;20,04;6.492,46;18,86;3,40;0,13;8.932.657.332,64
MRSA5B;23,06;2,79;6,78;1,22;0,51;45,73;38,24;18,76;3,33;5,05;1,24;0,46;1,27;-50,67;-0,61;0,95;18,03;7,49;15,98;0,42;0,58;0,40;9,87;20,04;5.565,00;18,86;3,40;0,10;8.932.657.332,64
MRSA6B;24,48;2,63;7,20;1,30;0,54;45,73;38,24;18,76;3,53;5,05;1,24;0,46;1,35;-53,79;-0,65;0,95;18,03;7,49;15,98;0,42;0,58;0,40;9,87;20,04;6.890,00;18,86;3,40;0,11;8.932.657.332,64
MRVE3;8,19;;-17,85;0,67;0,19;21,73;1,16;-3,61;55,54;139,36;83,82;1,01;0,64;0,86;-0,34;1,99;-3,76;-1,07;0,34;0,28;0,68;0,30;6,86;;185.504.149,10;12,19;-0,46;0,11;4.609.550.435,49
MSPA3;43,00;0,13;8,37;0,33;0,19;38,88;23,14;17,10;6,18;8,06;1,98;0,11;1,43;5,64;-0,21;1,56;3,94;2,30;4,10;0,58;0,42;0,13;6,46;-2,91;8.256,67;130,22;5,14;-0,04;270.771.783,00
MSPA4;37,00;0,17;7,20;0,28;0,17;38,88;23,14;17,10;5,32;8,06;1,98;0,11;1,23;4,85;-0,18;1,56;3,94;2,30;4,10;0,58;0,42;0,13;6,46;-2,91;19.071,43;130,22;5,14;-0,04;270.771.783,00
MSRO3;702,50;;1.828,65;249,03;67,48;39,77;27,14;6,34;427,07;430,25;3,18;1,85;115,93;-536,40;-86,38;0,63;13,62;3,69;15,50;0,27;0,73;0,58;8,72;92,10;;2,82;0,38;114,31;18.271.898.550,00
MTIG3;0,00;;0,00;0,00;0,00;-16,12;-64,07;-113,09;0,00;-1,28;-1,17;;0,00;0,00;0,00;0,27;-725,28;-74,53;-104,33;-0,10;1,10;0,66;-17,44;;;-0,06;-0,46;0,00;3.700.608,00
MTIG4;23,00;;-49,52;-359,15;36,91;-16,12;-64,07;-113,09;-87,41;-1,28;-1,17;;56,00;-50,93;-50,15;0,27;-725,28;-74,53;-104,33;-0,10;1,10;0,66;-17,44;;;-0,06;-0,46;-0,09;3.700.608,00
MTRE3;4,84;15,68;5,92;0,52;0,24;21,87;10,56;9,48;5,32;10,75;5,43;0,53;0,56;0,46;-1,39;2,65;8,85;3,98;4,62;0,45;0,53;0,42;69,15;;10.313.997,70;9,24;0,82;0,04;511.950.128,80
MTSA3;78,40;1,47;7,90;1,60;1,23;29,63;13,88;13,56;7,72;4,81;-1,40;-0,29;1,07;2,15;-5,55;3,77;20,20;15,55;15,32;0,77;0,23;1,15;27,16;46,00;7.900,00;49,09;9,92;1,32;554.911.328,00
MTSA4;49,08;2,58;4,95;1,00;0,77;29,63;13,88;13,56;4,83;4,81;-1,40;-0,29;0,67;1,35;-3,47;3,77;20,20;15,55;15,32;0,77;0,23;1,15;27,16;46,00;217.832,13;49,09;9,92;0,83;554.911.328,00
MULT3;25,80;3,86;16,20;2,25;1,43;92,65;74,87;48,73;10,54;11,84;1,30;0,28;7,89;97,12;-1,65;1,12;13,87;8,84;14,14;0,64;0,36;0,18;9,22;20,97;112.241.169,48;11,49;1,59;0,57;15.499.630.575,00
MWET3;13,30;;-5,72;-2,64;0,10;13,38;-3,47;-1,72;-2,83;-9,65;-7,92;;0,10;-1,13;-0,16;0,82;-46,11;-1,68;-52,31;-0,04;1,04;0,98;19,24;;1.330,00;-5,05;-2,33;0,05;16.807.024,50
MWET4;5,60;;-2,41;-1,11;0,04;13,38;-3,47;-1,72;-1,19;-9,65;-7,92;;0,04;-0,48;-0,07;0,82;-46,11;-1,68;-52,31;-0,04;1,04;0,98;19,24;;13.799,42;-5,05;-2,33;0,02;16.807.024,50
MYPK3;13,74;2,83;-20,52;0,55;0,14;9,29;4,96;-0,66;2,72;7,64;4,92;0,99;0,14;0,72;-0,30;1,58;-2,68;-0,68;5,55;0,25;0,72;1,04;17,75;;12.451.582,03;24,94;-0,67;0,17;2.112.107.317,74
NAFG3;64,37;;11,80;2,76;1,15;41,15;16,49;9,34;6,68;5,06;1,17;0,48;1,10;3,20;-2,87;2,52;23,42;9,77;15,89;0,42;0,58;1,05;7,87;35,19;;23,30;5,46;-1,14;508.315.292,42
NAFG4;19,02;;3,49;0,82;0,34;41,15;16,49;9,34;1,97;5,06;1,17;0,48;0,33;0,94;-0,85;2,52;23,42;9,77;15,89;0,42;0,58;1,05;7,87;35,19;;23,30;5,46;-0,34;508.315.292,42
NEMO3;0,00;;0,00;0,00;0,00;42,65;37,37;10,96;0,00;3,55;3,55;4,84;0,00;0,00;0,00;2,82;40,03;3,38;9,57;0,08;0,70;0,31;36,49;52,36;;34,64;13,87;0,00;0,00
NEMO5;52,97;;3,82;1,53;0,13;42,65;37,37;10,96;1,12;3,55;3,55;4,84;0,42;0,74;-0,18;2,82;40,03;3,38;9,57;0,08;0,70;0,31;36,49;52,36;;34,64;13,87;-0,96;0,00
NEMO6;0,00;;0,00;0,00;0,00;42,65;37,37;10,96;0,00;3,55;3,55;4,84;0,00;0,00;0,00;2,82;40,03;3,38;9,57;0,08;0,70;0,31;36,49;52,36;;34,64;13,87;0,00;0,00
NEOE3;20,80;8,35;4,86;0,86;0,26;26,13;21,96;11,89;2,63;6,59;3,96;1,29;0,58;20,71;-0,34;1,06;17,61;5,33;12,45;0,30;0,70;0,45;15,85;66,47;28.753.473,17;24,28;4,28;0,21;25.246.982.758,40
NEXP3;4,69;;-0,09;-0,09;0,10;86,77;-85,18;-147,00;-0,16;-0,78;-0,63;;0,13;-0,24;-0,15;0,47;-96,62;-107,69;97,23;-1,11;2,11;0,73;6,18;;7.720,83;-53,94;-52,12;0,00;12.454.618,61
NGRD3;1,09;1,36;28,07;0,57;0,39;63,47;-5,34;3,42;-17,98;-6,40;11,58;-0,37;0,96;1,57;-0,68;2,37;2,03;1,38;-4,51;0,68;0,32;0,40;10,18;3,51;542.866,87;1,91;0,04;0,06;260.141.939,70
NINJ3;5,16;;87,72;0,92;0,86;91,84;-44,70;4,92;-9,65;0,53;10,18;-0,97;4,31;0,98;-14,33;16,07;1,05;0,98;-10,12;0,94;0,06;0,20;;;527.549,73;5,61;0,06;-0,77;262.112.607,72
NORD3;9,42;;-8,31;-0,40;3,35;91,45;211,48;-332,85;13,07;21,02;7,95;;27,65;-0,39;-3,66;0,01;-4,80;-40,38;-4,03;-8,41;9,41;0,12;23,27;;23.339,21;-23,62;-1,13;1,27;62.374.398,12
NRTQ3;0,00;;0,00;0,00;0,00;27,82;17,10;18,21;0,00;0,32;0,32;0,05;0,00;0,00;0,00;4,82;17,37;12,36;12,35;0,71;0,29;0,68;9,53;24,53;;19,95;3,46;0,00;0,00
NTCO3;18,15;;5,30;0,90;0,50;64,98;-0,93;14,39;-82,32;-80,48;1,84;-0,02;0,76;3,21;-0,76;1,82;16,95;9,39;-3,13;0,55;0,45;0,65;29,83;47,94;172.921.191,37;20,21;3,43;-0,01;25.171.292.397,90
NUTR3;6,70;;23,20;2,70;0,84;16,12;6,42;2,33;8,41;8,98;0,57;0,18;0,54;2,53;-2,70;1,94;11,63;3,63;21,12;0,31;0,69;1,56;36,34;;30.546,68;2,48;0,29;-0,42;88.737.480,00
ODER4;98,91;0,63;7,44;2,24;1,27;30,41;18,23;14,52;5,93;6,57;0,65;0,24;1,08;2,58;-4,42;3,21;30,11;17,04;24,81;0,57;0,43;1,17;18,87;54,31;9.450,50;44,13;13,29;0,10;1.116.407.654,46
ODPV3;12,73;2,29;14,30;4,79;3,38;40,91;28,94;23,34;11,53;10,96;-0,57;-0,24;3,34;-174,37;-4,33;0,92;33,50;23,65;27,76;0,71;0,29;1,01;5,77;-0,45;27.038.293,97;2,66;0,89;0,51;7.033.269.789,99
OFSA3;23,25;0,85;-53,71;1,87;0,99;48,31;11,04;-2,37;11,53;12,31;0,79;0,13;1,27;2,59;-2,71;2,51;-3,49;-1,84;0,96;0,53;0,47;0,78;15,56;;140.946,23;12,41;-0,43;0,45;1.254.314.389,50
OGXP3;1,63;;-2,15;-0,98;0,92;;;;-9,26;-9,26;0,00;;;-0,98;;0,51;-45,53;-43,02;10,57;-0,94;1,94;0,00;;;;-1,67;-0,76;0,02;52.747.073,84
OIBR3;0,74;;-0,02;-0,02;0,02;-3,74;-173,59;-224,73;-0,03;-1,33;-1,30;;0,05;-0,12;-0,02;0,72;-84,29;-76,06;1.223,14;-0,90;1,90;0,34;-15,11;;29.267.042,77;-40,62;-34,24;0,00;505.817.040,46
OIBR4;1,83;;-0,05;-0,05;0,04;-3,74;-173,59;-224,73;-0,07;-1,33;-1,30;;0,12;-0,31;-0,06;0,72;-84,29;-76,06;1.223,14;-0,90;1,90;0,34;-15,11;;876.396,45;-40,62;-34,24;0,00;505.817.040,46
OMGE3;27,57;;60,97;1.294,14;443,36;28,35;29,22;7,11;14,84;14,86;0,01;1,10;4,34;17.603,37;-525,74;1,19;2.122,56;727,18;3.736,63;0,34;0,66;102,22;34,84;-2,04;;0,02;0,45;-0,75;5.521.562.588,85
