data,ticker,preco_fechamento_ajustado,volume_negociado,ebit_ev,roic
2016-12-31,AALR3,14.45,5375545.0,0.08785338169789551,0.05890384452176865
2017-01-31,AALR3,13.75,3116406.0,0.051572215851074625,0.05890384452176865
2017-02-28,AALR3,12.56,3077805.0,0.05518256029300946,0.05890384452176865
2017-03-31,AALR3,15.41,3141709.0,0.04781096726983174,0.05517058283097983
2017-04-30,AALR3,18.32,6444929.0,0.04117836136733886,0.05517058283097983
2017-05-31,AALR3,17.49,14932008.0,0.041687567401980326,0.05656430385051665
2017-06-30,AALR3,17.3,6391038.0,0.04106026939287761,0.05656430385051665
2017-07-31,AALR3,16.81,1603211.0,0.042032698367593435,0.05656430385051665
2017-08-31,AALR3,16.17,2219898.0,0.046321940262295545,0.06154875397223616
2017-09-30,AALR3,16.8,4550730.0,0.044897552296860016,0.06154875397223616
2017-10-31,AALR3,16.12,7850458.0,0.04643703622548659,0.06154875397223616
2017-11-30,AALR3,14.89,4319884.0,0.05185076627134257,0.0640836991499934
2017-12-31,AALR3,14.6,13436527.0,0.052681914789959615,0.0640836991499934
2018-01-31,AALR3,14.73,6017472.0,0.052290754162680086,0.0640836991499934
2018-02-28,AALR3,15.25,2569919.0,0.05088736267571331,0.0640836991499934
2018-03-31,AALR3,15.88,3397718.0,0.029159350666411076,0.04969221848743092
2018-04-30,AALR3,14.31,381066.0,0.03162530005299824,0.04969221848743092
2018-05-31,AALR3,13.12,4160474.0,0.03625707119331885,0.05302911035629872
2018-06-30,AALR3,12.9,6552207.0,0.03670424281355757,0.05302911035629872
2018-07-31,AALR3,13.01,1916864.0,0.03647928667136107,0.05302911035629872
2018-08-31,AALR3,12.5,6691533.0,0.03637715634891778,0.0532470390471923
2018-09-30,AALR3,11.52,1327748.0,0.038609762348157495,0.0532470390471923
2018-10-31,AALR3,11.81,2971911.0,0.03791172581532366,0.0532470390471923
2018-11-30,AALR3,12.89,3811221.0,0.03442607685273411,0.0519495757646869
2018-12-31,AALR3,13.13,3042992.0,0.033970671626182815,0.0519495757646869
2019-01-31,AALR3,15.48,3073351.0,0.030016486575631555,0.0519495757646869
2019-02-28,AALR3,15.58,1753188.0,0.02987100606368271,0.0519495757646869
2019-03-31,AALR3,14.32,3036178.0,0.06101714744779681,0.06235700492803205
2019-04-30,AALR3,14.87,2569789.0,0.05954574123008505,0.06235700492803205
2019-05-31,AALR3,13.9,1586619.0,0.06417865380135082,0.06519813972173241
2019-06-30,AALR3,14.3,10832812.0,0.06282885441526063,0.06519813972173241
2019-07-31,AALR3,14.67,2810704.0,0.06162987524088178,0.06519813972173241
2019-08-31,AALR3,18.99,4488459.0,0.05287075177663521,0.0685309918276277
2019-09-30,AALR3,19.09,2138376.0,0.05264861432886188,0.0685309918276277
2019-10-31,AALR3,17.95,2187648.0,0.05532161434405476,0.0685309918276277
2019-11-30,AALR3,18.54,3491698.0,0.05543925966077788,0.0691929698271129
2019-12-31,AALR3,18.01,6683463.0,0.05672989276674518,0.0691929698271129
2020-01-31,AALR3,20.85,10443252.0,0.05039857900510776,0.0691929698271129
2020-02-29,AALR3,18.7,7727571.0,0.055061095979939495,0.0691929698271129
2020-03-31,AALR3,8.93,5112705.0,0.08965853823257379,0.0656516972809702
2020-04-30,AALR3,10.49,6675878.0,0.08071701807109276,0.0656516972809702
2020-05-31,AALR3,10.2,12307047.0,0.05938773400567403,0.043593454050620914
2020-06-30,AALR3,10.29,8001607.0,0.05903347553126342,0.043593454050620914
2020-07-31,AALR3,11.36,10699641.0,0.05512410958356974,0.043593454050620914
2020-08-31,AALR3,11.99,5843390.0,0.003061545950944206,-0.004301015226985144
2020-09-30,AALR3,10.15,3763596.0,0.0034365265129157165,-0.004301015226985144
2020-10-31,AALR3,9.68,5108582.0,0.0035475134994869574,-0.004301015226985144
2020-11-30,AALR3,10.84,4815164.0,-0.007849651207873695,-0.015543961587093072
2020-12-31,AALR3,11.1,3639217.0,-0.007722739376846834,-0.015543961587093072
2021-01-31,AALR3,10.69,3089362.0,-0.007924785139782101,-0.015543961587093072
2021-02-28,AALR3,9.01,8184369.0,-0.008876349539858644,-0.015543961587093072
2021-03-31,AALR3,9.0,3777238.0,-0.005599036983805122,-0.014119789464605856
2021-04-30,AALR3,8.84,5751637.0,-0.0056648393671585705,-0.014119789464605856
2021-05-31,AALR3,12.27,34308663.0,0.01240190336686692,0.002013296732719696
2021-06-30,AALR3,11.76,26388985.0,0.012784786086748238,0.002013296732719696
